كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,مقطع ارائه درس,نوع ارائه,سطح ارائه,حداقل ظرفيت,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمانبندي تشکيل کلاس,زمان امتحان,استاد,ساير اساتيد,مكان برگزاري,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
100001,کارآموزی طرح پویش (2) کاردانی و کارشناسی,طرح پویش,0,2,200-7,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,50,,,,زهره رئیسی,,,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
100000,کارآموزی طرح پویش (1) کاردانی و کارشناسی,طرح پویش,0,2,200-6,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,50,,,,زهره رئیسی,,,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6220208133,صفحه آرایی نرم افزاری,كارگاهي,1,2,4413,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,چهارشنبه  از 14:30 تا 17:00,1403/10/12 از 08:00 تا 09:30,,,,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004156372,کارآموزی,كارآموزي,0,2,200-5,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,30,,,,زهره رئیسی,,,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6004124434,حقوق کار,نظري,2,0,200-4,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,يكشنبه  از 15:30 تا 17:30,1403/10/12 از 13:30 تا 15:00,علی کیانی,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6017207049,تکنیک های تصویر سازی دیجیتال,نظري_عملي,1,1,4412,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,يكشنبه  از 14:30 تا 17:00,1403/10/15 از 08:00 تا 09:30,مریم شه منش,,دانشکده مهارتی و کارآفرینی-کامپیوتر4,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
7000013364,حسابداری شرکت های مقدماتی,نظري,2,0,200-3,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,30,,دوشنبه  از 13:30 تا 15:30,1403/10/18 از 10:30 تا 13:00,زهرا برزگر,,دانشکده مهارتی و کارآفرینی-202,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
7000005570,آشنایی با نرم فزارهای کاربردی حسابداری,نظري,2,0,200-2,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,40,,سه شنبه  از 11:30 تا 13:30,1403/10/12 از 10:30 تا 13:00,مهدي يعقوبي,,دانشکده مهارتی و کارآفرینی-101,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
7000012228,اصول حسابداری(1),نظري,4,0,200-1,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,30,,شنبه  از 13:30 تا 17:30,1403/10/09 از 08:00 تا 10:00,حمیدرضا زارعی,,دانشکده مهارتی و کارآفرینی-203,,گروه آموزشي حسابداري(7116312),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
6017207056,پوستر و تابلوهای شهری,كارگاهي,0,2,4411,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,20,,چهارشنبه  از 13:30 تا 17:00,1403/10/08 از 13:30 تا 15:00,,,,,گروه آموزشي هنرهاي تجسمي(7116345),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
