کد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,کد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مکان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076303,برادران,يكشنبه از 15:00 تا 16:45,سید مسعود زبرجد,,45,,1404/10/17 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076302,خواهران,يكشنبه از 13:15 تا 15:00,سید مسعود زبرجد,,45,,1404/10/17 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755,انقلاب اسلامی ایران,نظري,2,0,1639075509,خواهران,يكشنبه از 11:00 تا 11:45 يكشنبه از از ...,عبدالعلی تجرد,,45,,1404/10/15 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99041,تاریخ تحلیلی صدر اسلام‌,نظري,2,0,1639904109,برادران,يكشنبه از 09:15 تا 11:00,عبدالعلی تجرد,,45,,1404/10/19 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99041,تاریخ تحلیلی صدر اسلام‌,نظري,2,0,1639904108,برادران,يكشنبه از 07:30 تا 09:15,عبدالعلی تجرد,,45,,1404/10/19 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98841,اندیشه اسلامی 2‌ (نبوت و امامت),نظري,2,0,1639884102,برادران- ترم آخری,دوشنبه از 15:00 تا 16:45,عباس عرفانی فر,,0,,1404/10/18 از 16:30 تا 18:00,مهندسی دو-20,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98841,اندیشه اسلامی 2‌ (نبوت و امامت),نظري,2,0,1639884101,خواهران,دوشنبه از 13:15 تا 15:00,عباس عرفانی فر,,45,,1404/10/18 از 16:30 تا 18:00,مهندسی دو-20,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061006,خواهران,شنبه از 09:15 تا 11:00,اسداله مصطفی پور,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061005,برادران,شنبه از 07:30 تا 09:15,اسداله مصطفی پور,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076301,خواهران,پنج شنبه از 13:15 تا 15:00,سید خداکرم فلاحی,,45,,1404/10/17 از 16:30 تا 18:00,مهندسی یک-115,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98961,اخلاق اسلامی (مبانی و مفاهیم),نظري,2,0,1639896103,خواهران,پنج شنبه از 11:00 تا 11:45 پنج شنبه از ...,سید خداکرم فلاحی,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی یک-115,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98961,اخلاق اسلامی (مبانی و مفاهیم),نظري,2,0,1639896102,خواهران,پنج شنبه از 09:15 تا 11:00,سید خداکرم فلاحی,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی یک-115,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98961,اخلاق اسلامی (مبانی و مفاهیم),نظري,2,0,1639896101,برادران,پنج شنبه از 07:30 تا 09:15,سید خداکرم فلاحی,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی یک-115,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061004,برادران,دوشنبه از 16:45 تا 18:30,عليرضا علي زاده,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی یک-115,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061003,برادران,دوشنبه از 15:00 تا 16:45,عليرضا علي زاده,,45,,1404/10/22 از 16:30 تا 18:00,مهندسی یک-115,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
