,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,48,90881,آشنایی با دفاع مقدس,نظري,2,0,1639088108,خواهران,شنبه از 12:30 تا 17:30,احسان اله خرمی,,25,,1404/05/27 از 13:00 تا 14:00,دانشکده علوم انسانی-213,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,49,90881,آشنایی با دفاع مقدس,نظري,2,0,1639088107,برادران,شنبه از 07:15 تا 12:15,احسان اله خرمی,,25,,1404/05/27 از 13:00 تا 14:00,دانشکده علوم انسانی-210,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,50,90881,آشنایی با دفاع مقدس,نظري,2,0,1639088106,خواهران,چهارشنبه از 12:30 تا 17:30,مسيح گلکاري,,25,,1404/05/27 از 13:00 تا 14:00,دانشکده علوم انسانی-110,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,51,90881,آشنایی با دفاع مقدس,نظري,2,0,1639088105,خواهران,سه شنبه از 12:30 تا 17:30,مسيح گلکاري,,25,,1404/05/27 از 13:00 تا 14:00,دانشکده علوم انسانی-110,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,52,4628150474,معماری‌ کامپیوتر,نظري,3,0,163543328,,شنبه از 07:30 تا 15:30,علي نامدار,,55,,1404/06/01 از 08:00 تا 10:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,53,4628147685,مدار‌های الکتریکی,نظري,3,0,163543327,,شنبه از 15:00 تا 19:00 يكشنبه از 15:00 ...,گوهر ورامینی,,55,,1404/06/01 از 08:00 تا 10:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,54,4628164617,طراحی کامپیوتری سیستمهای دیجیتال,نظري,3,0,163543326,,چهارشنبه از 12:30 تا 17:30 پنج شنبه از ...,مرجان افشار,,55,,1404/06/01 از 08:00 تا 10:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,55,4628127605,روش پژوهش و ارایه,نظري,2,0,163543327,استاد درس : دکتر پیچاقیان,دوشنبه از 12:30 تا 17:30,امین اسکندری,,55,,1404/06/01 از 08:00 تا 10:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,56,90881,آشنایی با دفاع مقدس,نظري,2,0,1639088104,برادران,دوشنبه از 12:30 تا 17:30,مسيح گلکاري,,25,,1404/05/27 از 13:00 تا 14:00,دانشکده علوم انسانی-110,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,57,90881,آشنایی با دفاع مقدس,نظري,2,0,1639088103,برادران,يكشنبه از 12:30 تا 17:30,امیرعلی بنی احمد,,25,,1404/05/27 از 13:00 تا 14:00,دانشکده علوم انسانی-113,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
